,P_DAS28,LM_DAS28,P_VAS,LM_VAS,P_TJC,LM_TJC,P_SJC,LM_SJC,P_CRP,LM_CRP
GMDS,0.562474115,-0.033119686,0.201424609,-0.003828309,0.633973595,0.004649858,0.673027505,0.007203818,0.414972755,-0.004355094
PRDX5,0.532733788,0.035699199,0.46261116,0.002309004,0.016364578,0.024935791,0.222678859,-0.022401182,0.415040469,-0.002672957
SUMO4,0.037888099,0.117778661,0.80995933,-0.000758766,0.003361464,0.030081684,0.027952146,0.038518345,0.415473944,-0.002525427
PCCB,0.175229275,-0.086435495,0.749773498,-0.001097832,0.965853209,-0.000492397,0.221925968,-0.023964534,0.419090612,-0.002964422
APOA1BP,0.718218251,-0.040637708,0.033731471,-0.010691254,0.766741794,0.005851099,0.784706744,-0.010934953,0.420242286,0.005242105
FDPS,0.378012015,-0.051847959,0.703881008,0.001255892,0.418942767,-0.008365123,0.172363526,-0.024957767,0.42060093,-0.002934863
RPS6,0.460319044,-0.031376862,0.456774729,-0.001729931,0.683822877,-0.003086021,0.213967111,-0.014901989,0.420742469,-0.00212159
UGT2B4,0.366553149,0.039395411,0.353425206,0.002211195,0.720625568,0.002860997,0.308205205,0.012188693,0.420891738,-0.001932145
PSAP,0.911474219,-0.005581788,0.32813385,-0.002741415,0.437912285,0.006883476,0.595319644,-0.007734268,0.421041989,-0.00265818
P4HB,0.256245315,-0.046128599,0.499079918,-0.001469279,0.357433277,-0.006705587,0.978763747,0.000309613,0.421554881,-0.001880004
MGST1,0.815779444,0.009674452,0.311195007,0.002239447,0.457893694,0.005547972,0.604131659,-0.006107603,0.424323338,0.001887034
HIST1H2BM,0.619707753,-0.027383401,0.727682239,0.001037915,0.723677697,-0.003414525,0.376554533,0.014181972,0.425226833,-0.002623728
SEC22B,0.237959952,0.111514241,0.443196115,-0.00372077,0.624006694,0.007526611,0.062521357,0.044159607,0.425489754,0.004222649
PLEC,0.165004646,-0.056867103,0.020453395,-0.005081154,0.317181809,-0.007350329,0.545121426,0.007075587,0.425815123,-0.001883436
HLA.A,0.272655661,-0.071493769,0.436582557,-0.002961969,0.469467096,-0.008903215,0.467534614,-0.011380795,0.426639389,-0.002616719
VAPB,0.526377593,-0.033011731,0.225816993,-0.00351919,0.591706429,0.005055773,0.648716687,-0.006477035,0.426765815,-0.002238778
SAE1,0.027379894,-0.130022486,0.020041237,-0.007701028,0.157848022,-0.013797459,0.311915602,-0.019418325,0.429098597,-0.00362995
CAPZB,0.131135707,0.090878403,0.714077485,-0.001226172,0.018101727,0.02534052,0.194459648,0.023286189,0.429422049,-0.002664502
PSMA7,0.42113101,-0.033192379,0.478393484,0.001553674,0.254100732,-0.008531123,0.862133752,0.002035369,0.429536656,-0.0018574
HSD17B4,0.690503583,-0.016295925,0.040994003,-0.004466202,0.970737062,-0.000269417,0.516487901,0.007578898,0.43035608,0.00185276
SNRPD3,0.059416314,-0.08645649,0.009344317,-0.006514794,0.086767925,-0.014647227,0.99954317,7.75E-06,0.430359618,0.00208506
ARHGDIA,0.008701845,-0.16338266,0.123836709,-0.005521078,0.018334727,-0.026124067,0.124191122,-0.029070642,0.43631243,-0.002330631
MYO1C,0.609633662,-0.02981491,0.741849023,-0.00108945,0.659401543,-0.004640547,0.530401746,-0.011096987,0.440225796,0.002876695
TYMP,0.89356076,-0.010083599,0.161200481,-0.005501136,0.611216913,0.007148312,0.145068418,0.026237059,0.441319901,-0.002289393
PCBP2,0.834116677,0.011060715,0.406672082,0.002488855,0.422330989,-0.008102749,0.401534298,0.013335326,0.442723474,-0.002117798
KNG1,0.604366058,-0.021162221,0.32022325,-0.002169719,0.650062377,0.003322191,0.633358682,-0.005572624,0.443375163,-0.001801172
IGLL5,0.311833656,-0.042056428,0.5656798,-0.001264235,0.205808771,-0.009387261,0.178083243,-0.015762026,0.444223765,0.001848292
PGM1,0.316422752,0.041029296,0.626071419,0.001069455,0.112429143,0.01164188,0.446059126,0.008921088,0.445101321,-0.001798337
RTN4,0.489175742,0.030287436,0.677989103,-0.000958865,0.619656365,-0.003886195,0.00011571,0.046376107,0.44792128,0.001850672
HMGB1,0.723009356,-0.0186632,0.610043787,-0.001508676,0.370376915,-0.008443004,0.63287626,-0.007118995,0.450641645,0.002291139
TMED9,0.741887108,-0.018102615,0.565880114,-0.001819812,0.404507142,-0.008300259,0.874773814,-0.002366456,0.451102646,-0.002716513
GLS,0.820865565,-0.012009523,0.107570205,-0.004743437,0.642935123,-0.004378874,0.73786826,-0.005305144,0.453241518,-0.002400034
UBE2N,0.594112134,0.027376929,0.536547127,0.001732771,0.741047351,0.003086668,0.459933527,-0.010564443,0.454251915,-0.002268199
SPTBN1,0.539579462,-0.024992622,0.225038903,-0.002640998,0.920692551,0.000727394,0.783522573,-0.003202082,0.454657479,-0.001752682
IGFALS,0.005522201,-0.164348528,0.052488314,-0.00576073,0.008072246,-0.027169685,0.113965176,-0.025891252,0.45602617,-0.002421821
AMBP,0.328583779,0.039818862,0.187463924,0.002868826,0.144552905,0.01064874,0.61084128,0.005929646,0.457387669,-0.001741978
UGT2B15,0.522922739,-0.03516841,0.181639043,-0.003699933,0.702009462,-0.003522905,0.200604002,-0.023546165,0.457996215,0.002279776
PGAM2,0.18225955,-0.067534855,0.721382058,-0.00098474,0.162634878,-0.012330561,0.867711853,0.002638497,0.458509676,-0.002304826
SULT1A2,0.269584446,0.055685032,0.111437211,0.004134209,0.453247682,0.006682121,0.517908353,-0.008505413,0.458850433,-0.002110077
LPCAT3,0.103430917,-0.098928269,0.281112566,-0.003434093,0.480576635,-0.008575864,0.300125511,-0.016569661,0.459555926,-0.002594211
PDLIM7,0.12570856,-0.085700066,0.0827469,-0.005313956,0.120072925,-0.014801331,0.733914953,0.006103984,0.459984322,0.002473388
LGALS4,0.216293505,-0.050572515,0.087169887,-0.003736525,0.45641642,0.005466564,0.184524207,-0.015518123,0.460744339,-0.001736261
ITGA1,0.167385337,-0.057103948,0.250623579,-0.002563305,0.948033758,-0.000480109,0.626670378,-0.005695801,0.46147398,-0.001735249
HIST1H1C,0.974825053,-0.001779781,0.979961272,7.56E-05,0.355894265,-0.008690351,0.426770415,0.01215353,0.46274859,-0.003068723
GALM,0.375139234,-0.043853043,0.027882252,-0.005885366,0.573947328,-0.005016969,0.925327388,0.001256167,0.463275788,0.002276395
PDHB,0.20034382,-0.055706606,0.040886636,-0.004806142,0.257366085,-0.008882859,0.651033058,-0.005463342,0.463998949,0.001757423
FUBP1,0.310563204,-0.057831013,0.627266113,-0.001505896,0.422995987,-0.008410225,0.38900667,-0.013370077,0.464018369,-0.002646414
RAB14,0.089438012,-0.0889648,0.478991675,-0.001980963,0.37488131,-0.008032315,0.316880048,-0.017159516,0.465808507,0.002671728
