,HP,PRE,RA,RA_P,RA_N
RDX,0.1673386,0.107484,0.103390442,0.101317365,0.115376081
RPL13A,0.10815365,0.2421619,0.11207237,0.126440355,0.062820978
RPL14,0.2901497,0.1466916,0.253974607,0.289846897,0.06364947
RPL18,0.5044411,0.21568415,0.223184971,0.271459637,0.067431785
RPL23,0.21236245,0.11081475,0.093321195,0.095159227,0.075274309
RPL24,0.073769075,0.1213151,0.114902686,0.126191903,0.058229106
RPL34,0.2982467,0.1434786,0.12508036,0.127567688,0.064904414
RPL35,0.4019237,0.1838093,0.212788664,0.222092444,0.18209061
RPL6,0.2459266,0.1186853,0.1489466,0.161580768,0.089092873
RPL7,0.2402822,0.1235345,0.185138883,0.217432495,0.086461467
RPL9,0.1573751,0.09110328,0.111634389,0.129974701,0.056839422
RPLP0,0.2945892,0.1632902,0.161725695,0.165966048,0.101372676
RPN2,0.2773054,0.1428834,0.105100658,0.112666537,0.071599911
RPS10,0.2598689,0.18490255,0.159922655,0.170597058,0.052916992
RPS12,0.20114075,0.084796715,0.080773203,0.080663446,0.078321298
RPS18,0.2656898,0.1532697,0.1618249,0.165917598,0.116199075
RPS25,0.6106834,0.30270965,0.052917574,0.062179446,0.05166203
RPS4X,0.1264006,0.2940989,0.214223699,0.217630322,0.196528923
RPS4Y2,0.19429555,0.3381732,0.227700626,0.223686094,0.254009529
RSU1,0.2990375,0.1244487,0.139445362,0.126735961,0.170808769
RTN1,0.18156385,1.152736,0.314772573,0.320274299,0.205375795
RTN4,0.0259869,0.1138443,0.109148788,0.112683053,0.087947095
S100A12,0.21658715,0.29950425,0.476840922,0.529960892,0.066025256
S100A6,0.218539,0.1316991,0.125950674,0.138830293,0.070722239
S100A9,0.2885036,0.13453915,0.146336129,0.162735445,0.052321647
SAA2,2.872558,1.934754,7.568273148,7.854952151,0.752630403
SAE1,0.18932395,0.34292655,0.297491322,0.297085911,0.246715724
SEC61A1,0.3645924,0.2208563,0.244408309,0.252444008,0.206062684
SEC61A2,0.4553191,0.2205992,0.223407824,0.260238506,0.08020745
SELENBP1,0.106527,0.083127,0.069996654,0.08314542,0.047112278
SEPP1,2.124885,1.2844915,0.983237856,1.160880811,0.454344936
SERPINA1,0.5990076,0.97309705,1.021159857,1.12958635,0.444341356
SERPINA5,0.080295775,0.5146809,0.271494114,0.274882588,0.26752925
SERPINF2,0.99792385,1.692585,1.401747665,1.501952332,0.449809839
SH3BGRL3,0.70073465,0.24542995,0.167606835,0.162452459,0.163877434
SLC4A1,0.173719,0.2320217,0.266978451,0.269560824,0.274996247
SNRPD3,0.1459313,0.2544476,0.171938546,0.177985124,0.099925559
SNX5,0.1884701,0.1345479,0.121851514,0.12286077,0.098684718
SOD2,0.118481,0.233807,0.133999115,0.130817585,0.13516819
SORD,0.239284,0.1786183,0.157362229,0.177999173,0.072006108
SRI,0.1423093,0.25171995,0.365511482,0.387933884,0.272331292
SRP9,0.2517528,0.1558144,0.145664051,0.155695532,0.066057603
SSB,0.4742754,0.1795943,0.178196952,0.178196952,0.191405455
SUCLA2,0.4469459,0.21388395,0.248410626,0.247044685,0.232885675
SYNGR2,0.52095995,0.23923725,0.283933013,0.299383188,0.152012702
TAGLN,0.1956315,0.11253575,0.086294868,0.09542769,0.033013105
TAGLN2,0.2915002,0.13044095,0.181381765,0.202699642,0.092715633
TFG,0.17209775,0.293554,0.251297838,0.256513032,0.10575818
TGM2,0.2286005,0.1461655,0.149112511,0.174655318,0.08205107
TMEM109,0.3386461,0.2040994,0.266559598,0.280450528,0.133607972
TNC,0.26168815,0.1392291,0.1815133,0.176572316,0.205074747
TPI1,0.1210948,0.04272209,0.040290109,0.040995765,0.037530785
TPM3,0.1570253,0.2542977,0.191866288,0.220717825,0.079949781
TPPP3,0.3054128,0.1574622,0.203277895,0.208929285,0.164100673
