colnames-ALL---c-1-15--,P_VAS,P_SJC,P_TJC,P_CRP,X3.1,X3.8,X5.0
CAND1,0.573562619,0.648701258,0.853273472,0.744186863,0,0,0
RPS7,0.588990944,0.097400187,0.684888326,0.085493871,0,0,0
MAPRE1,0.934079666,0.568825345,0.32856137,0.127362273,0,0,0
AFM,0.345090077,0.040229701,0.137796319,0.010852666,0,0,0
STOM,0.803983966,0.081616337,0.099811915,0.860794532,0,0,0
HK1,0.119670107,0.931698155,0.354609171,0.039870232,0,0,0
MYH10,0.869368788,0.632287571,0.935766522,0.142495384,0,0,0
PIGR,0.561262333,0.558930392,0.152709834,0.189167839,0,0,0
LTA4H,0.109198794,0.97489741,0.384925833,0.71419959,0,0,0
GSTA2,0.538468455,0.295209186,0.076578004,0.756486441,0,0,0
RPL13A,0.05326491,0.256324454,0.437635497,0.294612805,0,0,0
HSPA5,0.993281382,0.512944971,0.901367936,0.405539984,0,0,0
EEF1B2,0.229702231,0.749367914,0.411324499,0.394112519,0,0,0
C4BPB,0.685504266,0.965510045,0.244620365,0.11460358,0,0,0
RPS9,0.105557184,0.504195883,0.624231477,0.034435674,0,0,0
CTSD,0.037427498,0.120876824,0.229102055,0.138411231,0,0,0
ADH6,0.871902591,0.050404649,0.45966805,0.042309932,0,0,0
HIBCH,0.690417324,0.475433563,0.09032085,0.271214339,1,0,0
APOC2,0.429586356,0.735215487,0.287100722,0.943319502,0,0,0
MVP,0.72207168,0.882544937,0.841303727,0.207240568,0,0,0
COX5A,0.840660304,0.960045477,0.878548898,0.355338393,0,0,0
CAPNS1,0.173301256,0.60012637,0.234909856,0.050927807,0,0,0
IGHV4-28,0.185174526,0.16039639,0.272210421,0.731533975,0,0,0
ANXA4,0.74355919,0.349791464,0.797522466,0.659114536,0,0,0
SFN,0.794315191,0.280516807,0.161870028,0.953700031,1,0,0
REEP5,0.08059763,0.550638192,0.076034646,0.755117652,0,0,0
PLEC,0.054115082,0.59477372,0.521979791,0.727756088,0,0,0
ACY1,0.384241556,0.248983046,0.239392486,2.57E-06,0,0,0
RPL21,0.229984567,0.092465974,0.911308148,0.237488508,0,0,0
PDLIM1,0.199007872,0.322230268,0.29054088,0.540788433,0,0,0
SERPINA1,0.011937633,0.012790363,0.162375576,0.000612696,0,0,0
PFKL,0.608926167,0.459944378,0.140099046,0.16148038,0,0,0
MAOB,0.757760182,0.409872354,0.977609793,0.039244102,0,0,0
COL12A1,0.950467266,0.343006325,0.439847475,0.431953439,0,0,0
IGKV4-1,0.652811714,0.836506123,0.391606724,0.230579791,0,0,0
DLAT,0.510225722,0.947050595,0.566881119,0.842806154,0,0,0
MDH2,0.011659906,0.833946632,0.227368602,0.043356687,1,1,0
HSD17B4,0.119697841,0.560033493,0.828748736,0.426803982,0,1,0
AGER,0.176300899,0.329710129,0.511080765,0.134177462,0,0,0
PON1,0.43308935,0.22943674,0.313553035,0.020612276,0,0,0
TMEM109,0.504030419,0.354704778,0.298233763,0.709043239,0,0,0
RPL7,0.465343347,0.468439596,0.658140856,0.00143893,0,0,0
RPL10A,0.31255815,0.575355567,0.918749682,0.132489284,0,0,0
PSMA1,0.081473885,0.112229563,0.29073191,0.198315702,0,0,0
CAPZA1,0.814232495,0.632254842,0.803847832,0.975140951,0,0,0
RTN4,0.617760677,0.000413422,0.841886132,0.588060403,0,0,0
